"accelRating","age","agilityRating","awareRating","bCVRating","bigHitTrait","birthDay","birthMonth","birthYear","blockShedRating","breakSackRating","breakTackleRating","cITRating","capHit","capReleaseNetSavings","capReleasePenalty","carryRating","catchRating","changeOfDirectionRating","clutchTrait","college","confRating","contractBonus","contractLength","contractSalary","contractYearsLeft","coverBallTrait","dLBullRushTrait","dLSpinTrait","dLSwimTrait","desiredBonus","desiredLength","desiredSalary","devTrait","draftPick","draftRound","dropOpenPassTrait","durabilityGrade","experiencePoints","feetInBoundsTrait","fightForYardsTrait","finesseMovesRating","firstName","forcePassTrait","hPCatchTrait","height","highMotorTrait","hitPowerRating","homeState","homeTown","impactBlockRating","injuryLength","injuryRating","injuryType","intangibleGrade","isActive","isFreeAgent","isOnIR","isOnPracticeSquad","jerseyNum","jukeMoveRating","jumpRating","kickAccRating","kickPowerRating","kickRetRating","lBStyleTrait","lastName","leadBlockRating","legacyScore","manCoverRating","passBlockFinesseRating","passBlockPowerRating","passBlockRating","penaltyTrait","physicalGrade","playActionRating","playBallTrait","playRecRating","playerBestOvr","playerSchemeOvr","portraitId","posCatchTrait","position","powerMovesRating","predictTrait","presentationId","pressRating","productionGrade","pursuitRating","qBStyleTrait","reSignStatus","releaseRating","rookieYear","rosterId","routeRunDeepRating","routeRunMedRating","routeRunShortRating","runBlockFinesseRating","runBlockPowerRating","runBlockRating","runStyle","scheme","sensePressureTrait","sizeGrade","skillPoints","specCatchRating","speedRating","spinMoveRating","staminaRating","stiffArmRating","strengthRating","stripBallTrait","tackleRating","teamId","teamSchemeOvr","throwAccDeepRating","throwAccMidRating","throwAccRating","throwAccShortRating","throwAwayTrait","throwOnRunRating","throwPowerRating","throwUnderPressureRating","tightSpiralTrait","toughRating","truckRating","weight","yACCatchTrait","yearsPro","zoneCoverRating","id","team","signatureSlotList"
91,23,90,59,65,0,27,7,1998,44,14,52,62,500000,500000,0,66,74,89,0,"San Diego State",50,0,1,500000,1,2,0,0,0,0,0,0,0,27,46,0,0,736,1,0,45,"Luq",2,1,72,1,60,4,"San Diego",48,0,86,97,63,true,false,false,false,41,75,94,15,17,45,2,"Barcoo",18,0,64,35,35,35,1,88,6,2,56,65,65,1394,0,"CB",35,0,21216,67,0,70,0,0,40,2019,553123969,44,48,51,35,35,35,3,13,1,98,0,70,91,65,91,38,52,0,52,968359936,63,6,6,36,6,0,6,36,10,0,78,36,175,1,1,62,"553123969","49ers",
93,24,96,84,77,0,9,2,1997,24,31,89,62,12000000,9000000,15000000,96,74,94,0,"Penn State",50,15000000,5,45000000,5,3,0,0,0,0,0,0,3,27,2,0,0,5148,0,1,25,"Saquon",2,0,71,1,17,37,"Coplay",37,0,84,97,90,true,false,false,false,26,92,94,14,19,81,1,"Barkley",34,2500,15,33,38,54,1,93,18,1,21,90,90,8813,0,"HB",17,0,13085,10,0,36,0,11,69,2017,553123971,61,67,75,31,35,36,7,6,1,72,0,71,92,90,97,87,81,0,28,968359936,90,29,34,25,41,0,36,41,18,0,90,83,233,0,3,13,"553123971","49ers","[{""isEmpty"":false,""locked"":false,""ovrThreshold"":0,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":""Rush for 10+ yards"",""signatureDeactivationDescription"":""Don't get tackled for loss"",""signatureDescription"":""Some players thrive on making defenders look silly. When they enter the zone, this ability increases their fakeout rate on the next juke, spin or hurdle."",""signatureLogoId"":1109,""signatureTitle"":""First One Free"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":false,""ovrThreshold"":70,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Ballcarriers with this ability have steerable juke and spin animations."",""signatureLogoId"":1222,""signatureTitle"":""Evasive"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":false,""ovrThreshold"":85,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Running backs with this ability have better catch in traffic and route running when coming out of the backfield against linebackers and linemen."",""signatureLogoId"":1120,""signatureTitle"":""Backfield Mismatch"",""startActivated"":false,""unlockRequirement"":""""}}]"
87,27,79,69,45,0,18,3,1994,70,12,25,35,1250000,1150000,200000,34,46,67,0,"Ohio",50,200000,2,2300000,2,4,0,0,1,0,0,0,0,8,29,0,0,5770,0,0,76,"Tarell",2,0,76,1,85,45,"Rocky Mount",79,0,93,97,71,true,false,false,false,95,47,79,16,24,10,0,"Basham",19,0,42,45,45,45,2,82,6,1,66,71,71,8476,0,"LE",65,0,12616,32,0,79,0,11,19,2016,553123986,7,14,24,45,45,45,13,11,1,99,0,43,82,36,76,48,76,1,75,968359936,71,6,6,19,6,0,6,24,15,0,88,33,266,0,4,52,"553123986","49ers",
91,25,91,67,77,0,20,12,1995,30,26,67,73,500000,500000,0,68,79,91,0,"Texas Tech",50,0,1,500000,1,4,0,0,0,0,0,0,0,27,44,0,0,2738,1,0,10,"Cameron",2,0,68,0,15,35,"Oklahoma City",44,0,87,97,59,true,false,false,false,13,79,89,18,17,81,1,"Batson",22,0,12,12,10,30,1,88,6,1,25,67,67,9704,0,"WR",10,0,13822,15,0,40,0,0,62,2017,553123994,68,71,69,11,15,45,8,4,1,75,0,74,93,74,80,37,55,0,35,968359936,59,6,10,42,15,0,10,31,19,0,80,37,175,1,3,25,"553123994","49ers",
76,27,64,75,50,0,27,1,1994,20,12,32,50,500000,500000,0,49,53,52,0,"San Diego State",50,0,1,500000,1,4,0,0,0,0,0,0,0,8,51,0,0,6096,0,1,10,"Daniel",2,0,77,1,38,4,"San Diego",78,0,91,97,65,true,false,false,false,60,48,71,20,21,10,1,"Brunskill",75,10,12,70,67,69,0,78,6,1,15,65,65,8495,1,"RG",10,0,12753,10,0,29,1,0,35,2016,553124172,21,29,39,73,66,70,11,2,1,99,0,46,65,23,83,44,80,0,33,968359936,65,6,6,30,6,0,6,27,6,0,88,39,300,1,4,15,"553124172","49ers",
85,26,77,70,33,1,14,1,1995,72,12,15,30,1000000,950000,100000,53,50,73,0,"Maryland",50,100000,2,1900000,2,3,0,0,0,0,0,0,0,27,32,0,0,1109,0,0,55,"Jermaine",2,0,72,1,87,19,"Fort Washington",72,0,90,97,70,true,false,false,false,56,36,83,11,16,10,2,"Carter Jr",19,0,61,45,45,45,1,82,6,1,73,71,71,9330,0,"MLB",58,0,13461,54,0,82,0,11,20,2017,553124257,5,6,10,45,45,45,1,11,1,85,0,26,83,30,85,36,75,0,81,968359936,70,6,6,30,6,0,6,30,12,0,86,38,225,0,3,67,"553124257","49ers",
90,25,85,68,20,0,10,5,1996,72,12,12,30,2250000,1950000,900000,52,50,78,0,"Minnesota",50,900000,3,5850000,3,3,0,0,0,0,0,0,0,8,17,0,0,5783,0,0,63,"Blake",2,0,73,1,83,22,"Eden Prairie",79,0,78,97,73,true,false,false,false,53,29,89,14,19,10,2,"Cashman",20,0,60,45,45,45,1,83,6,1,66,73,73,9415,0,"ROLB",58,0,20693,46,0,83,0,11,18,2018,553124266,5,5,15,45,45,45,1,20,1,85,0,27,89,27,91,24,70,0,84,968359936,73,6,6,24,6,0,6,25,10,0,89,25,235,0,2,68,"553124266","49ers",
92,23,87,80,62,0,26,2,1998,58,15,43,58,2750000,2350000,1600000,68,71,86,0,"Southern Illinois",50,1600000,4,9400000,4,2,0,0,0,0,0,0,1,8,11,0,0,7966,0,0,52,"Jeremy",2,0,75,1,80,13,"Fishers",59,0,84,97,80,true,false,false,false,21,70,92,11,14,48,2,"Chinn",20,550,73,35,35,35,1,88,6,2,78,80,80,211,0,"FS",45,0,21151,73,0,81,0,11,20,2019,553124286,10,22,30,35,35,35,11,11,1,99,0,64,93,56,90,43,70,0,71,968359936,80,6,6,29,6,0,6,23,18,0,91,48,221,0,1,77,"553124286","49ers",
89,23,78,85,84,0,7,7,1998,50,32,79,85,2500000,2150000,1400000,72,88,75,0,"Notre Dame",50,1400000,4,8600000,4,4,0,0,0,0,0,0,1,27,14,1,0,4744,1,1,30,"Chase",2,1,76,1,45,50,"Abbotsford",61,0,87,97,78,true,false,false,false,11,79,95,15,21,65,1,"Claypool",41,350,41,48,47,49,1,88,25,1,28,78,78,700,0,"WR",26,0,21077,43,0,57,1,11,77,2019,553124306,78,77,79,49,47,55,11,3,1,97,0,88,92,78,86,73,72,0,43,968359936,78,26,30,35,40,0,35,47,26,0,86,67,238,1,1,50,"553124306","49ers",
90,22,89,69,78,0,19,3,1999,30,28,74,82,1500000,1350000,450000,75,80,79,0,"Michigan",50,450000,3,4050000,3,4,0,0,0,0,0,0,0,27,26,0,0,527,1,1,10,"Nico",2,1,76,1,20,0,"Birmingham",46,0,90,97,69,true,false,false,false,12,73,91,15,22,40,1,"Collins",28,0,13,27,30,35,1,88,25,1,16,69,69,1148,0,"WR",10,0,21587,19,0,32,2,11,71,2021,553124337,70,68,69,29,33,49,13,6,3,91,0,84,90,71,83,61,67,0,26,968359936,69,20,25,22,30,0,33,39,26,0,83,60,215,1,0,19,"553124337","49ers",
